training_seed,scenario,step,configured_horizon,horizon,rollout_seed_start,rollout_replications,candidate_index,candidate_label,total_cost,true_cost_advantage,completion_service_level,patients_lost,patient_ineligibility_during_manufacturing_rate
61,routing_persistent_hotspot_cluster2,18,remaining,34,99001810,3,1,specimen_transfer:+1x0.05,2147613705.9460597,597084.8204336166,0.5066155793394005,2001.0,0.0672864102255506
61,routing_persistent_hotspot_cluster2,18,remaining,34,99001810,3,2,specimen_transfer:-1x0.05,2146566932.9932754,1643857.7732179165,0.5059957210922524,2002.6666666666667,0.06767613026799925
61,routing_persistent_hotspot_cluster2,18,remaining,34,99001810,3,3,specimen_transfer:+1x0.1,2148345685.3887568,-134894.62226343155,0.5067297787338708,2000.0,0.06717346413697187
61,routing_persistent_hotspot_cluster2,18,remaining,34,99001810,3,4,specimen_transfer:-1x0.1,2147387163.7312267,823627.0352666378,0.5058288303479815,2004.3333333333333,0.06761741815036908
61,routing_persistent_hotspot_cluster2,25,4,4,99002500,3,0,mdl2,213633832.4720882,0.0,0.5201545942704832,138.0,0.0319091400757166
61,routing_persistent_hotspot_cluster2,25,4,4,99002500,3,1,specimen_transfer:+1x0.05,212717924.33594882,915908.136139363,0.52077753390434,138.0,0.0319091400757166
61,routing_persistent_hotspot_cluster2,25,4,4,99002500,3,2,specimen_transfer:-1x0.05,215815893.3521287,-2182060.8800405264,0.5198431244535546,141.66666666666666,0.031960996749729145
61,routing_persistent_hotspot_cluster2,25,4,4,99002500,3,3,specimen_transfer:+1x0.1,210411827.81124476,3222004.660843432,0.5217119433551253,136.0,0.03028664142779881
61,routing_persistent_hotspot_cluster2,25,4,4,99002500,3,4,specimen_transfer:-1x0.1,216828493.69054535,-3194661.2184571624,0.5192201848196979,143.66666666666666,0.031995661605206074
61,routing_persistent_hotspot_cluster2,25,remaining,27,99002510,3,0,mdl2,1620965637.2735977,0.0,0.5311706273033483,1473.6666666666667,0.055228483787433134
61,routing_persistent_hotspot_cluster2,25,remaining,27,99002510,3,1,specimen_transfer:+1x0.05,1620234313.847022,731323.4265756607,0.5311632687717046,1474.0,0.055410442117992204
61,routing_persistent_hotspot_cluster2,25,remaining,27,99002510,3,2,specimen_transfer:-1x0.05,1619639616.8943994,1326020.3791983128,0.5307643151403639,1474.0,0.05504843662277386
61,routing_persistent_hotspot_cluster2,25,remaining,27,99002510,3,3,specimen_transfer:+1x0.1,1616296921.5152903,4668715.758307457,0.5322105394522211,1467.3333333333333,0.0535454189889028
61,routing_persistent_hotspot_cluster2,25,remaining,27,99002510,3,4,specimen_transfer:-1x0.1,1617616052.691722,3349584.581875801,0.5308328278005652,1473.6666666666667,0.054274155448960026
61,routing_persistent_hotspot_cluster2,31,4,4,99003100,3,0,mdl2,224540210.39742455,0.0,0.5485707021864459,246.66666666666666,0.04229742322123351
61,routing_persistent_hotspot_cluster2,31,4,4,99003100,3,1,specimen_transfer:+1x0.05,222876624.48680544,1663585.9106191099,0.5491098380116907,244.66666666666666,0.04142539523453395
61,routing_persistent_hotspot_cluster2,31,4,4,99003100,3,2,specimen_transfer:-1x0.05,228729875.4123014,-4189665.0148768425,0.5477619984485789,253.33333333333334,0.042335138283934814
61,routing_persistent_hotspot_cluster2,31,4,4,99003100,3,3,specimen_transfer:+1x0.1,220504736.29935944,4035474.098065108,0.5501881096621798,241.33333333333334,0.03964365780509163
61,routing_persistent_hotspot_cluster2,31,4,4,99003100,3,4,specimen_transfer:-1x0.1,229618381.03604206,-5078170.638617516,0.5467733566268965,254.33333333333334,0.04219281923442739
61,routing_persistent_hotspot_cluster2,31,remaining,21,99003110,3,0,mdl2,1379364542.394512,0.0,0.5204251321412111,1293.0,0.05870245718183927
61,routing_persistent_hotspot_cluster2,31,remaining,21,99003110,3,1,specimen_transfer:+1x0.05,1377428286.0049038,1936256.3896081448,0.5208268684119344,1289.6666666666667,0.05789921732669132
61,routing_persistent_hotspot_cluster2,31,remaining,21,99003110,3,2,specimen_transfer:-1x0.05,1376605229.8957934,2759312.4987185,0.5203117574215899,1297.0,0.058977189845529
61,routing_persistent_hotspot_cluster2,31,remaining,21,99003110,3,3,specimen_transfer:+1x0.1,1374626053.7677603,4738488.626751661,0.5214521513596531,1286.6666666666667,0.0568213952030025
61,routing_persistent_hotspot_cluster2,31,remaining,21,99003110,3,4,specimen_transfer:-1x0.1,1373056010.031852,6308532.362659931,0.5207171059208889,1296.3333333333333,0.05788827660798154
61,routing_persistent_hotspot_cluster2,37,4,4,99003700,3,0,mdl2,221031982.40902352,0.0,0.5406600033342533,176.66666666666666,0.04319818112921561
61,routing_persistent_hotspot_cluster2,37,4,4,99003700,3,1,specimen_transfer:+1x0.05,221142499.44902143,-110517.0399979055,0.5404355699580249,177.0,0.04357711254262978
61,routing_persistent_hotspot_cluster2,37,4,4,99003700,3,2,specimen_transfer:-1x0.05,221858287.0961604,-826304.6871368885,0.5404355699580249,178.33333333333334,0.04319818112921561
